# # alphas_L2,errors_L2,lambdas_L2,errors_L1,lambdas_L1,errors_Huber,lambdas_Huber,huber_params,errors_BO
0.1685845918,0.9722000764,3.1278144836,0.9704690768,2.0152591324,0.9662704903,1.6687454407,1.1035279012,0.9653368002
0.1698843746,0.9719909514,3.1276902771,0.9702454562,2.0150820543,0.9660156520,1.6684666614,1.1034457293,0.9650741959
0.1711941786,0.9717802929,3.1275650215,0.9700201739,2.0149036642,0.9657589289,1.6681859112,1.1033630393,0.9648096388
0.1725140813,0.9715680905,3.1274387169,0.9697932181,2.0147239113,0.9655003077,1.6679029850,1.1032796843,0.9645431151
0.1738441603,0.9713543333,3.1273112845,0.9695645768,2.0145428467,0.9652397750,1.6676177620,1.1031956785,0.9642746107
0.1751844943,0.9711390106,3.1271825409,0.9693342381,2.0143603134,0.9649773174,1.6673305055,1.1031110522,0.9640041115
0.1765351622,0.9709221117,3.1270530891,0.9691021898,2.0141765213,0.9647129213,1.6670412453,1.1030260013,0.9637316032
0.1778962436,0.9707036255,3.1269223785,0.9688684198,2.0139912081,0.9644465730,1.6667496374,1.1029402642,0.9634570716
0.1792678190,0.9704835411,3.1267904091,0.9686329158,2.0138045286,0.9641782587,1.6664561872,1.1028539950,0.9631805022
0.1806499692,0.9702618475,3.1266571808,0.9683956655,2.0136164379,0.9639079648,1.6661599287,1.1027666993,0.9629018806
0.1820427758,0.9700385336,3.1265227985,0.9681566566,2.0134266663,0.9636356772,1.6658618383,1.1026792383,0.9626211921
0.1834463208,0.9698135882,3.1263873672,0.9679158765,2.0132356882,0.9633613820,1.6655614192,1.1025909050,0.9623384222
0.1848606872,0.9695870002,3.1262508804,0.9676733126,2.0130431432,0.9630850651,1.6652592244,1.1025023700,0.9620535560
0.1862859582,0.9693587581,3.1261129904,0.9674289524,2.0128491687,0.9628067123,1.6649543717,1.1024128500,0.9617665787
0.1877222181,0.9691288507,3.1259738874,0.9671827831,2.0126536274,0.9625263094,1.6646471596,1.1023226729,0.9614774752
0.1891695515,0.9688972665,3.1258334732,0.9669347919,2.0124566174,0.9622438420,1.6643377191,1.1022318544,0.9611862306
0.1906280438,0.9686639941,3.1256920624,0.9666849659,2.0122582436,0.9619592957,1.6640260656,1.1021405818,0.9608928298
0.1920977810,0.9684290217,3.1255493927,0.9664332922,2.0120581913,0.9616726560,1.6637120381,1.1020485117,0.9605972573
0.1935788499,0.9681923379,3.1254054511,0.9661797577,2.0118565130,0.9613839082,1.6633960203,1.1019561048,0.9602994980
0.1950713378,0.9679539309,3.1252601719,0.9659243493,2.0116533136,0.9610930378,1.6630771144,1.1018626000,0.9599995364
0.1965753327,0.9677137890,3.1251136208,0.9656670538,2.0114485931,0.9608000298,1.6627559477,1.1017685906,0.9596973569
0.1980909234,0.9674719003,3.1249657058,0.9654078578,2.0112423515,0.9605048694,1.6624326961,1.1016740851,0.9593929439
0.1996181992,0.9672282528,3.1248167157,0.9651467480,2.0110345364,0.9602075416,1.6621066927,1.1015786915,0.9590862817
0.2011572503,0.9669828347,3.1246660963,0.9648837110,2.0108251476,0.9599080314,1.6617784475,1.1014827627,0.9587773545
0.2027081675,0.9667356339,3.1245144081,0.9646187331,2.0106139821,0.9596063237,1.6614478051,1.1013861621,0.9584661462
0.2042710421,0.9664866383,3.1243612218,0.9643518008,2.0104013348,0.9593024031,1.6611147799,1.1012889822,0.9581526410
0.2058459665,0.9662358356,3.1242068291,0.9640829004,2.0101869631,0.9589962543,1.6607791449,1.1011909954,0.9578368226
0.2074330335,0.9659832137,3.1240510201,0.9638120179,2.0099711227,0.9586878620,1.6604409371,1.1010922813,0.9575186749
0.2090323368,0.9657287602,3.1238935852,0.9635391397,2.0097533679,0.9583772106,1.6601002299,1.1009929091,0.9571981815
0.2106439707,0.9654724627,3.1237349176,0.9632642516,2.0095340428,0.9580642844,1.6597569037,1.1008927094,0.9568753259
0.2122680302,0.9652143088,3.1235750896,0.9629873396,2.0093131638,0.9577490678,1.6594114559,1.1007921591,0.9565500917
0.2139046111,0.9649542858,3.1234135437,0.9627083896,2.0090904522,0.9574315450,1.6590630784,1.1006905786,0.9562224623
0.2155538101,0.9646923813,3.1232507849,0.9624273874,2.0088660622,0.9571117001,1.6587122466,1.1005885120,0.9558924208
0.2172157244,0.9644285826,3.1230862427,0.9621443185,2.0086398855,0.9567895171,1.6583589229,1.1004857501,0.9555599505
0.2188904519,0.9641628768,3.1229204941,0.9618591687,2.0084119320,0.9564649799,1.6580029343,1.1003822286,0.9552250345
0.2205780916,0.9638952511,3.1227532768,0.9615719234,2.0081823885,0.9561380724,1.6576440280,1.1002778391,0.9548876556
0.2222787429,0.9636256928,3.1225843811,0.9612825680,2.0079510945,0.9558087782,1.6572828445,1.1001728648,0.9545477968
0.2239925062,0.9633541888,3.1224140167,0.9609910879,2.0077177811,0.9554770810,1.6569186314,1.1000669900,0.9542054407
0.2257194826,0.9630807260,3.1222423935,0.9606974683,2.0074830055,0.9551429644,1.6565520485,1.0999606406,0.9538605701
0.2274597739,0.9628052914,3.1220693016,0.9604016943,2.0072461843,0.9548064118,1.6561825017,1.0998533843,0.9535131675
0.2292134828,0.9625278719,3.1218944788,0.9601037510,2.0070076323,0.9544674064,1.6558104626,1.0997454959,0.9531632153
0.2309807128,0.9622484540,3.1217178857,0.9598036234,2.0067672443,0.9541259317,1.6554353116,1.0996366460,0.9528106959
0.2327615680,0.9619670246,3.1215395355,0.9595012964,2.0065250206,0.9537819707,1.6550577549,1.0995273130,0.9524555915
