# q,training_error,generalization_error,m,sigma,m_hat,q_hat,sigma_hat
1.100729384136098568e-02,8.466249569362050975e-01,8.157843354086349308e-01,9.761147921636306735e-02,8.870952461876857598e-03,1.100349479222787785e+01,1.879808843936061180e+01,1.399547444610223401e+01
1.104963119081354278e-02,8.465543051424117005e-01,8.154491236208100124e-01,9.780025378500180333e-02,8.887443626474943181e-03,1.100431776508411197e+01,1.879737235589785627e+01,1.399628256358951894e+01
1.109213138239464880e-02,8.464835301957739366e-01,8.151133403003689715e-01,9.798939554101281091e-02,8.903964410259193260e-03,1.100514231931440712e+01,1.879665489567256387e+01,1.399709221161094241e+01
1.113479504244390197e-02,8.464126319102188711e-01,8.147769846310620734e-01,9.817890520569089174e-02,8.920514862576077453e-03,1.100596845789444345e+01,1.879593605607623630e+01,1.399790339295969233e+01
1.117762279971001166e-02,8.463416100995241331e-01,8.144400557961721798e-01,9.836878350176891939e-02,8.937095032840276440e-03,1.100679618380499392e+01,1.879521583449578159e+01,1.399871611043339392e+01
1.122061528536002530e-02,8.462704645773143630e-01,8.141025529785188564e-01,9.855903115342058707e-02,8.953704970534744415e-03,1.100762550003189411e+01,1.879449422831343597e+01,1.399953036683406005e+01
1.126377313298865430e-02,8.461991951570669857e-01,8.137644753604620362e-01,9.874964888626329429e-02,8.970344725210747244e-03,1.100845640956605465e+01,1.879377123490685975e+01,1.400034616496809647e+01
1.130709697862760342e-02,8.461278016521111001e-01,8.134258221239051290e-01,9.894063742736124156e-02,8.987014346487885025e-03,1.100928891540349142e+01,1.879304685164907696e+01,1.400116350764634632e+01
1.135058746075494514e-02,8.460562838756247039e-01,8.130865924502984621e-01,9.913199750522821985e-02,9.003713884054168407e-03,1.101012302054530956e+01,1.879232107590848244e+01,1.400198239768405806e+01
1.139424522030452885e-02,8.459846416406406888e-01,8.127467855206432779e-01,9.932372984983060815e-02,9.020443387666053289e-03,1.101095872799769460e+01,1.879159390504882055e+01,1.400280283790087488e+01
1.143807090067543858e-02,8.459128747600439535e-01,8.124064005154946200e-01,9.951583519259037114e-02,9.037202907148473782e-03,1.101179604077195329e+01,1.879086533642919576e+01,1.400362483112088618e+01
1.148206514774145065e-02,8.458409830465718482e-01,8.120654366149658854e-01,9.970831426638776529e-02,9.053992492394911593e-03,1.101263496188447455e+01,1.879013536740404078e+01,1.400444838017256366e+01
1.152622860986056950e-02,8.457689663128186153e-01,8.117238929987313778e-01,9.990116780556460019e-02,9.070812193367401230e-03,1.101347549435678452e+01,1.878940399532321237e+01,1.400527348788883764e+01
1.157056193788458254e-02,8.456968243712302824e-01,8.113817688460305266e-01,1.000943965459270141e-01,9.087662060096627151e-03,1.101431764121549328e+01,1.878867121753180669e+01,1.400610015710702427e+01
1.161506578516863925e-02,8.456245570341101025e-01,8.110390633356717727e-01,1.002880012247484715e-01,9.104542142681913350e-03,1.101516140549235345e+01,1.878793703137031912e+01,1.400692839066888951e+01
1.165974080758089455e-02,8.455521641136173328e-01,8.106957756460355657e-01,1.004819825807727052e-01,9.121452491291308362e-03,1.101600679022422469e+01,1.878720143417455546e+01,1.400775819142060818e+01
1.170458766351217643e-02,8.454796454217665680e-01,8.103519049550783615e-01,1.006763413542168528e-01,9.138393156161609548e-03,1.101685379845310209e+01,1.878646442327563193e+01,1.400858956221278717e+01
1.174960701388566911e-02,8.454070007704305167e-01,8.100074504403372844e-01,1.008710782867742045e-01,9.155364187598411668e-03,1.101770243322610909e+01,1.878572599600001425e+01,1.400942250590046712e+01
1.179479952216666745e-02,8.453342299713403341e-01,8.096624112789320149e-01,1.010661941216173115e-01,9.172365635976151982e-03,1.101855269759550282e+01,1.878498614966944658e+01,1.401025702534311002e+01
1.184016585437235904e-02,8.452613328360855105e-01,8.093167866475703409e-01,1.012616896034010117e-01,9.189397551738144945e-03,1.101940459461868649e+01,1.878424488160100836e+01,1.401109312340461877e+01
1.188570667908161842e-02,8.451883091761133171e-01,8.089705757225509331e-01,1.014575654782653436e-01,9.206459985396637721e-03,1.102025812735819699e+01,1.878350218910706104e+01,1.401193080295332472e+01
1.193142266744490025e-02,8.451151588027331352e-01,8.086237776797675636e-01,1.016538224938386553e-01,9.223552987532855282e-03,1.102111329888172975e+01,1.878275806949526938e+01,1.401277006686199478e+01
1.197731449319408212e-02,8.450418815271141249e-01,8.082763916947129923e-01,1.018504613992405189e-01,9.240676608797026431e-03,1.102197011226212098e+01,1.878201252006858724e+01,1.401361091800782788e+01
1.202338283265242530e-02,8.449684771602858913e-01,8.079284169424828521e-01,1.020474829450848248e-01,9.257830899908439312e-03,1.102282857057737608e+01,1.878126553812527533e+01,1.401445335927247093e+01
1.206962836474453037e-02,8.448949455131404829e-01,8.075798525977790909e-01,1.022448878834827102e-01,9.275015911655484779e-03,1.102368867691065191e+01,1.878051712095883730e+01,1.401529739354200466e+01
1.211605177100634825e-02,8.448212863964330577e-01,8.072306978349149675e-01,1.024426769680456956e-01,9.292231694895694560e-03,1.102455043435027271e+01,1.877976726585808009e+01,1.401614302370695420e+01
1.216265373559521565e-02,8.447474996207822162e-01,8.068809518278179382e-01,1.026408509538886682e-01,9.309478300555784624e-03,1.102541384598972840e+01,1.877901597010707491e+01,1.401699025266227849e+01
