# q,training_error,generalization_error,m,sigma,m_hat,q_hat,sigma_hat
1.206962836474453037e-02,8.655383887392856801e-01,8.075208046687466501e-01,1.022744118479989722e-01,8.982855410400532661e-03,1.138551242064784574e+01,1.994719678664676721e+01,1.448771084207924353e+01
1.211605177100634825e-02,8.654623845323993203e-01,8.071715585083725220e-01,1.024722466313169600e-01,8.999539115688218530e-03,1.138638827100432493e+01,1.994636926587763526e+01,1.448856989251266292e+01
1.216265373559521565e-02,8.653862487961717642e-01,8.068217210120689487e-01,1.026704663617631491e-01,9.016252731867369433e-03,1.138726579822689899e+01,1.994554015707212713e+01,1.448943056235123450e+01
1.220943494529994587e-02,8.653099813361549986e-01,8.064712913535220240e-01,1.028690717958889583e-01,9.032996308596509191e-03,1.138814500543863417e+01,1.994470945723904620e+01,1.449029285451194760e+01
1.225639608955095793e-02,8.652335819577668952e-01,8.061202687060416983e-01,1.030680636917546550e-01,9.049769895602381362e-03,1.138902589576771973e+01,1.994387716338197691e+01,1.449115677191615248e+01
1.230353786043041422e-02,8.651570504662916550e-01,8.057686522425657749e-01,1.032674428089322971e-01,9.066573542679964848e-03,1.138990847234750703e+01,1.994304327249937003e+01,1.449202231748961189e+01
1.235086095268243464e-02,8.650803866668793640e-01,8.054164411356649067e-01,1.034672099085087449e-01,9.083407299692557169e-03,1.139079273831646333e+01,1.994220778158444318e+01,1.449288949416243177e+01
1.239836606372333484e-02,8.650035903645484359e-01,8.050636345575457042e-01,1.036673657530888110e-01,9.100271216571776192e-03,1.139167869681822864e+01,1.994137068762526965e+01,1.449375830486913941e+01
1.244605389365190107e-02,8.649266613641840573e-01,8.047102316800552879e-01,1.038679111067983135e-01,9.117165343317643403e-03,1.139256635100157666e+01,1.994053198760467893e+01,1.449462875254861949e+01
1.249392514525970652e-02,8.648495994705420742e-01,8.043562316746855068e-01,1.040688467352871155e-01,9.134089729998608187e-03,1.139345570402043428e+01,1.993969167850032065e+01,1.449550084014415319e+01
1.254198052404148847e-02,8.647724044882476591e-01,8.040016337125770463e-01,1.042701734057322610e-01,9.151044426751594671e-03,1.139434675903389937e+01,1.993884975728462905e+01,1.449637457060340218e+01
1.259022073820550459e-02,8.646950762217958664e-01,8.036464369645234251e-01,1.044718918868410007e-01,9.168029483782052028e-03,1.139523951920621769e+01,1.993800622092483010e+01,1.449724994687841573e+01
1.263864649868400719e-02,8.646176144755541859e-01,8.032906406009761024e-01,1.046740029488539420e-01,9.185044951363985702e-03,1.139613398770680774e+01,1.993716106638294860e+01,1.449812697192563249e+01
1.268725851914370532e-02,8.645400190537612106e-01,8.029342437920474751e-01,1.048765073635481021e-01,9.202090879840032003e-03,1.139703016771023947e+01,1.993631429061572646e+01,1.449900564870586450e+01
1.273605751599627897e-02,8.644622897605288570e-01,8.025772457075162070e-01,1.050794059042400308e-01,9.219167319621470250e-03,1.139792806239625733e+01,1.993546589057473994e+01,1.449988598018430785e+01
1.278504420840894003e-02,8.643844263998438082e-01,8.022196455168311147e-01,1.052826993457889188e-01,9.236274321188264400e-03,1.139882767494979632e+01,1.993461586320628243e+01,1.450076796933057643e+01
1.283421931831505401e-02,8.643064287755659603e-01,8.018614423891153864e-01,1.054863884645998312e-01,9.253411935089153259e-03,1.139972900856093752e+01,1.993376420545145677e+01,1.450165161911862199e+01
1.288358357042473402e-02,8.642282966914303088e-01,8.015026354931715780e-01,1.056904740386265806e-01,9.270580211941641807e-03,1.140063206642496141e+01,1.993291091424606165e+01,1.450253693252682474e+01
1.293313769223555613e-02,8.641500299510499472e-01,8.011432239974853875e-01,1.058949568473751129e-01,9.287779202432068851e-03,1.140153685174231946e+01,1.993205598652069455e+01,1.450342391253792051e+01
1.298288241404326609e-02,8.640716283579134016e-01,8.007832070702303184e-01,1.060998376719064773e-01,9.305008957315648657e-03,1.140244336771865186e+01,1.993119941920066296e+01,1.450431256213905051e+01
1.303281846895254850e-02,8.639930917153877399e-01,8.004225838792724534e-01,1.063051172948400319e-01,9.322269527416519527e-03,1.140335161756478044e+01,1.993034120920601993e+01,1.450520288432172933e+01
1.308294659288782372e-02,8.639144198267185715e-01,8.000613535921745623e-01,1.065107965003565943e-01,9.339560963627773285e-03,1.140426160449672111e+01,1.992948135345157468e+01,1.450609488208186626e+01
1.313326752460411070e-02,8.638356124950304915e-01,7.996995153762007646e-01,1.067168760742016609e-01,9.356883316911519463e-03,1.140517333173567138e+01,1.992861984884685000e+01,1.450698855841974400e+01
1.318378200569788987e-02,8.637566695233306335e-01,7.993370683983209712e-01,1.069233568036884602e-01,9.374236638298904384e-03,1.140608680250804063e+01,1.992775669229609292e+01,1.450788391634003993e+01
1.323449078061804396e-02,8.636775907145052278e-01,7.989740118252156575e-01,1.071302394777011446e-01,9.391620978890166671e-03,1.140700202004542696e+01,1.992689188069825335e+01,1.450878095885182262e+01
1.328539459667683366e-02,8.635983758713230429e-01,7.986103448232809709e-01,1.073375248866979548e-01,9.409036389854692761e-03,1.140791898758461542e+01,1.992602541094702673e+01,1.450967968896851623e+01
1.333649420406090268e-02,8.635190247964366073e-01,7.982460665586318393e-01,1.075452138227145082e-01,9.426482922431030781e-03,1.140883770836761535e+01,1.992515727993076169e+01,1.451058010970796097e+01
1.338779035584233314e-02,8.634395372923826528e-01,7.978811761971086325e-01,1.077533070793668668e-01,9.443960627926959936e-03,1.140975818564162658e+01,1.992428748453262344e+01,1.451148222409236332e+01
1.343928380798976863e-02,8.633599131615812272e-01,7.975156729042800485e-01,1.079618054518548254e-01,9.461469557719523471e-03,1.141068042265905902e+01,1.992341602163032377e+01,1.451238603514831027e+01
1.349097531937951296e-02,8.632801522063390243e-01,7.971495558454494423e-01,1.081707097369650067e-01,9.479009763255063364e-03,1.141160442267753439e+01,1.992254288809638751e+01,1.451329154590677817e+01
1.354286565180674168e-02,8.632002542288506053e-01,7.967828241856584892e-01,1.083800207330741366e-01,9.496581296049277574e-03,1.141253018895988269e+01,1.992166808079799267e+01,1.451419875940312210e+01
1.359495556999672228e-02,8.631202190311948463e-01,7.964154770896921809e-01,1.085897392401522360e-01,9.514184207687251260e-03,1.141345772477414577e+01,1.992079159659696330e+01,1.451510767867707052e+01
1.364724584161608294e-02,8.630400464153428208e-01,7.960475137220842656e-01,1.087998660597658540e-01,9.531818549823498424e-03,1.141438703339359151e+01,1.991991343234986189e+01,1.451601830677274485e+01
1.369973723728414201e-02,8.629597361831518043e-01,7.956789332471214671e-01,1.090104019950813158e-01,9.549484374182024352e-03,1.141531811809669072e+01,1.991903358490789699e+01,1.451693064673862565e+01
1.375243053058423232e-02,8.628792881363711587e-01,7.953097348288484802e-01,1.092213478508679003e-01,9.567181732556336027e-03,1.141625098216715095e+01,1.991815205111694809e+01,1.451784470162759533e+01
1.380532649807512946e-02,8.627987020766417769e-01,7.949399176310729676e-01,1.094327044335010879e-01,9.584910676809504579e-03,1.141718562889389155e+01,1.991726882781755847e+01,1.451876047449688656e+01
1.385842591930248023e-02,8.627179778054950843e-01,7.945694808173707768e-01,1.096444725509658491e-01,9.602671258874205182e-03,1.141812206157105436e+01,1.991638391184493884e+01,1.451967796840812497e+01
1.391172957681030553e-02,8.626371151243559243e-01,7.941984235510906043e-01,1.098566530128598784e-01,9.620463530752750014e-03,1.141906028349801971e+01,1.991549730002894947e+01,1.452059718642730957e+01
1.396523825615251894e-02,8.625561138345456680e-01,7.938267449953588795e-01,1.100692466303967998e-01,9.638287544517147240e-03,1.142000029797938154e+01,1.991460898919411093e+01,1.452151813162479499e+01
1.401895274590450428e-02,8.624749737372774394e-01,7.934544443130855385e-01,1.102822542164094421e-01,9.656143352309114886e-03,1.142094210832497403e+01,1.991371897615956854e+01,1.452244080707533058e+01
1.407287383767476599e-02,8.623936946336623333e-01,7.930815206669681316e-01,1.104956765853532946e-01,9.674031006340153699e-03,1.142188571784985740e+01,1.991282725773915629e+01,1.452336521585801954e+01
1.412700232611654658e-02,8.623122763247073053e-01,7.927079732194975970e-01,1.107095145533094904e-01,9.691950558891571435e-03,1.142283112987432325e+01,1.991193383074126899e+01,1.452429136105633489e+01
1.418133900893957418e-02,8.622307186113183919e-01,7.923338011329630337e-01,1.109237689379882624e-01,9.709902062314510612e-03,1.142377834772391232e+01,1.991103869196903275e+01,1.452521924575813372e+01
1.423588468692180489e-02,8.621490212943000442e-01,7.919590035694573649e-01,1.111384405587322183e-01,9.727885569030019636e-03,1.142472737472938604e+01,1.991014183822013450e+01,1.452614887305561631e+01
1.429064016392122063e-02,8.620671841743566821e-01,7.915835796908819999e-01,1.113535302365195878e-01,9.745901131529073613e-03,1.142567821422674967e+01,1.990924326628689300e+01,1.452708024604535808e+01
1.434560624688770158e-02,8.619852070520935827e-01,7.912075286589526080e-01,1.115690387939675676e-01,9.763948802372629868e-03,1.142663086955724339e+01,1.990834297295626953e+01,1.452801336782828656e+01
1.440078374587488129e-02,8.619030897280184345e-01,7.908308496352034478e-01,1.117849670553356933e-01,9.782028634191640079e-03,1.142758534406736359e+01,1.990744095500981103e+01,1.452894824150971331e+01
1.445617347405210584e-02,8.618208320025410041e-01,7.904535417809942510e-01,1.120013158465289482e-01,9.800140679687123144e-03,1.142854164110883808e+01,1.990653720922372116e+01,1.452988487019928776e+01
1.451177624771641562e-02,8.617384336759761343e-01,7.900756042575136640e-01,1.122180859951013576e-01,9.818284991630192929e-03,1.142949976403863488e+01,1.990563173236876793e+01,1.453082325701101851e+01
1.456759288630457387e-02,8.616558945485431886e-01,7.896970362257865750e-01,1.124352783302590281e-01,9.836461622862094703e-03,1.143045971621896939e+01,1.990472452121033697e+01,1.453176340506327158e+01
1.462362421240514208e-02,8.615732144203677167e-01,7.893178368466775563e-01,1.126528936828638111e-01,9.854670626294248503e-03,1.143142150101731147e+01,1.990381557250841382e+01,1.453270531747876682e+01
1.467987105177059708e-02,8.614903930914824537e-01,7.889380052808979693e-01,1.128709328854363009e-01,9.872912054908290769e-03,1.143238512180636945e+01,1.990290488301757676e+01,1.453364899738457616e+01
1.473633423332953128e-02,8.614074303618286521e-01,7.885575406890105166e-01,1.130893967721594978e-01,9.891185961756114239e-03,1.143335058196410792e+01,1.990199244948700397e+01,1.453459444791211652e+01
1.479301458919882011e-02,8.613243260312560823e-01,7.881764422314350149e-01,1.133082861788818896e-01,9.909492399959911324e-03,1.143431788487372813e+01,1.990107826866045571e+01,1.453554167219714444e+01
1.484991295469591591e-02,8.612410798995254746e-01,7.877947090684539466e-01,1.135276019431210176e-01,9.927831422712194917e-03,1.143528703392369827e+01,1.990016233727626016e+01,1.453649067337978096e+01
1.490703016835115587e-02,8.611576917663090747e-01,7.874123403602175664e-01,1.137473449040668078e-01,9.946203083275869522e-03,1.143625803250772854e+01,1.989924465206734538e+01,1.453744145460446902e+01
1.496436707192011495e-02,8.610741614311913095e-01,7.870293352667505626e-01,1.139675159025847484e-01,9.964607434984245130e-03,1.143723088402478005e+01,1.989832520976121799e+01,1.453839401901999295e+01
1.502192451039600224e-02,8.609904886936693424e-01,7.866456929479568316e-01,1.141881157812195957e-01,9.983044531241089259e-03,1.143820559187907016e+01,1.989740400707990631e+01,1.453934836977947853e+01
1.507970333202214921e-02,8.609066733531566262e-01,7.862614125636250284e-01,1.144091453841985240e-01,1.000151442552066686e-02,1.143918215948006534e+01,1.989648104074006341e+01,1.454030451004038049e+01
1.513770438830446159e-02,8.608227152089822365e-01,7.858764932734351172e-01,1.146306055574346228e-01,1.002001717136776805e-02,1.144016059024249543e+01,1.989555630745289605e+01,1.454126244296449322e+01
1.519592853402399781e-02,8.607386140603913161e-01,7.854909342369635894e-01,1.148524971485301999e-01,1.003855282239775673e-02,1.144114088758633585e+01,1.989462980392412561e+01,1.454222217171792408e+01
1.525437662724956484e-02,8.606543697065478504e-01,7.851047346136889038e-01,1.150748210067803201e-01,1.005712143229661043e-02,1.144212305493682713e+01,1.989370152685408044e+01,1.454318369947112721e+01
1.531304952935035393e-02,8.605699819465341127e-01,7.847178935629980367e-01,1.152975779831761360e-01,1.007572305482095677e-02,1.144310709572445184e+01,1.989277147293762127e+01,1.454414702939885373e+01
1.537194810500863706e-02,8.604854505793531061e-01,7.843304102441919223e-01,1.155207689304083574e-01,1.009435774379811163e-02,1.144409301338495943e+01,1.989183963886414475e+01,1.454511216468019086e+01
1.543107322223253274e-02,8.604007754039303402e-01,7.839422838164914475e-01,1.157443947028705955e-01,1.011302555312611900e-02,1.144508081135935740e+01,1.989090602131761187e+01,1.454607910849854058e+01
1.549042575236875795e-02,8.603159562191126097e-01,7.835535134390428924e-01,1.159684561566629857e-01,1.013172653677379617e-02,1.144607049309389879e+01,1.988997061697651958e+01,1.454704786404161077e+01
1.555000657011549811e-02,8.602309928236707703e-01,7.831640982709249243e-01,1.161929541495953233e-01,1.015046074878075445e-02,1.144706206204010179e+01,1.988903342251387585e+01,1.454801843450142051e+01
1.560981655353528737e-02,8.601458850163014036e-01,7.827740374711537052e-01,1.164178895411908388e-01,1.016922824325745475e-02,1.144805552165474083e+01,1.988809443459727078e+01,1.454899082307430369e+01
1.566985658406795309e-02,8.600606325956262621e-01,7.823833301986892197e-01,1.166432631926893754e-01,1.018802907438523878e-02,1.144905087539984478e+01,1.988715364988879486e+01,1.454996503296088228e+01
1.573012754654359857e-02,8.599752353601953780e-01,7.819919756124413812e-01,1.168690759670510809e-01,1.020686329641636719e-02,1.145004812674270234e+01,1.988621106504504610e+01,1.455094106736609127e+01
1.579063032919566720e-02,8.598896931084867301e-01,7.815999728712762495e-01,1.170953287289597383e-01,1.022573096367407168e-02,1.145104727915585485e+01,1.988526667671719039e+01,1.455191892949915200e+01
1.585136582367399627e-02,8.598040056389080199e-01,7.812073211340214707e-01,1.173220223448262767e-01,1.024463213055255666e-02,1.145204833611710882e+01,1.988432048155089404e+01,1.455289862257358635e+01
1.591233492505797834e-02,8.597181727497978931e-01,7.808140195594733823e-01,1.175491576827922546e-01,1.026356685151708602e-02,1.145305130110951630e+01,1.988337247618632730e+01,1.455388014980719547e+01
1.597353853186975203e-02,8.596321942394280491e-01,7.804200673064030092e-01,1.177767356127333576e-01,1.028253518110398314e-02,1.145405617762138917e+01,1.988242265725818925e+01,1.455486351442206683e+01
1.603497754608744150e-02,8.595460699060025744e-01,7.800254635335617248e-01,1.180047570062628393e-01,1.030153717392068465e-02,1.145506296914629729e+01,1.988147102139568290e+01,1.455584871964457427e+01
1.609665287315844087e-02,8.594597995476608299e-01,7.796302073996882465e-01,1.182332227367351024e-01,1.032057288464577165e-02,1.145607167918306502e+01,1.988051756522252589e+01,1.455683576870535845e+01
1.615856542201278903e-02,8.593733829624774501e-01,7.792342980635144079e-01,1.184621336792492097e-01,1.033964236802901830e-02,1.145708231123577114e+01,1.987956228535693981e+01,1.455782466483934456e+01
1.622071610507652001e-02,8.592868199484647862e-01,7.788377346837718207e-01,1.186914907106523254e-01,1.035874567889141784e-02,1.145809486881374717e+01,1.987860517841163244e+01,1.455881541128571222e+01
1.628310583828513833e-02,8.592001103035737941e-01,7.784405164191986470e-01,1.189212947095432682e-01,1.037788287212522420e-02,1.145910935543157372e+01,1.987764624099383681e+01,1.455980801128790958e+01
1.634573554109710822e-02,8.591132538256947004e-01,7.780426424285450393e-01,1.191515465562760362e-01,1.039705400269399019e-02,1.146012577460909299e+01,1.987668546970524730e+01,1.456080246809365164e+01
1.640860613650740873e-02,8.590262503126577798e-01,7.776441118705804678e-01,1.193822471329634705e-01,1.041625912563260738e-02,1.146114412987139097e+01,1.987572286114206221e+01,1.456179878495489888e+01
1.647171855106113053e-02,8.589390995622387948e-01,7.772449239041000491e-01,1.196133973234805165e-01,1.043549829604733040e-02,1.146216442474880637e+01,1.987475841189499803e+01,1.456279696512786082e+01
1.653507371486715588e-02,8.588518013721524458e-01,7.768450776879310959e-01,1.198449980134680543e-01,1.045477156911583591e-02,1.146318666277692877e+01,1.987379211854922190e+01,1.456379701187299780e+01
1.659867256161181442e-02,8.587643555400620299e-01,7.764445723809391131e-01,1.200770500903363819e-01,1.047407900008723650e-02,1.146421084749659691e+01,1.987282397768439779e+01,1.456479892845501389e+01
1.666251602857268463e-02,8.586767618635757771e-01,7.760434071420354574e-01,1.203095544432686570e-01,1.049342064428212574e-02,1.146523698245389866e+01,1.987185398587468654e+01,1.456580271814284799e+01
1.672660505663240219e-02,8.585890201402496258e-01,7.756415811301833330e-01,1.205425119632245468e-01,1.051279655709263378e-02,1.146626507120015859e+01,1.987088213968870676e+01,1.456680838420965607e+01
1.679094059029251004e-02,8.585011301675873341e-01,7.752390935044046749e-01,1.207759235429439193e-01,1.053220679398243591e-02,1.146729511729195039e+01,1.986990843568954190e+01,1.456781592993283425e+01
1.685552357768738130e-02,8.584130917430441432e-01,7.748359434237871435e-01,1.210097900769501189e-01,1.055165141048679776e-02,1.146832712429109336e+01,1.986893287043477585e+01,1.456882535859399574e+01
1.692035497059822535e-02,8.583249046640265556e-01,7.744321300474901193e-01,1.212441124615540461e-01,1.057113046221261864e-02,1.146936109576465590e+01,1.986795544047647155e+01,1.456983667347897438e+01
1.698543572446705591e-02,8.582365687278933342e-01,7.740276525347525860e-01,1.214788915948572662e-01,1.059064400483847139e-02,1.147039703528492538e+01,1.986697614236111775e+01,1.457084987787780150e+01
1.705076679841082549e-02,8.581480837319587218e-01,7.736225100448990144e-01,1.217141283767558951e-01,1.061019209411462501e-02,1.147143494642944184e+01,1.986599497262971070e+01,1.457186497508472023e+01
1.711634915523551834e-02,8.580594494734908873e-01,7.732167017373472451e-01,1.219498237089441245e-01,1.062977478586308103e-02,1.147247483278098912e+01,1.986501192781768310e+01,1.457288196839817829e+01
1.718218376145037515e-02,8.579706657497169209e-01,7.728102267716147056e-01,1.221859784949178435e-01,1.064939213597762904e-02,1.147351669792756645e+01,1.986402700445495739e+01,1.457390086112080851e+01
1.724827158728210047e-02,8.578817323578213916e-01,7.724030843073257380e-01,1.224225936399782194e-01,1.066904420042385539e-02,1.147456054546242044e+01,1.986304019906589602e+01,1.457492165655943772e+01
1.731461360668921576e-02,8.577926490949483451e-01,7.719952735042180381e-01,1.226596700512355836e-01,1.068873103523921252e-02,1.147560637898401836e+01,1.986205150816930498e+01,1.457594435802506716e+01
1.738121079737634661e-02,8.577034157582038576e-01,7.715867935221509821e-01,1.228972086376126788e-01,1.070845269653302248e-02,1.147665420209606779e+01,1.986106092827848713e+01,1.457696896883288140e+01
