# q,training_error,generalization_error,m,sigma,m_hat,q_hat,sigma_hat
1.000000000000000021e-02,8.691054823153518960e-01,8.239265752635271944e-01,9.303671236823639334e-02,8.200978886773551552e-03,1.134458625643884844e+01,1.998586086679800289e+01,1.444754157926798399e+01
1.003846299559431332e-02,8.690356878410463448e-01,8.236053011816718561e-01,9.321658090696123555e-02,8.216256382264950503e-03,1.134538366015113375e+01,1.998510760182295343e+01,1.444832476120340026e+01
1.007707393139163458e-02,8.689657711861600298e-01,8.232834757152177607e-01,9.339679910808695862e-02,8.231561437958959115e-03,1.134618259391197448e+01,1.998435288915981900e+01,1.444910942495413231e+01
1.011583337641430366e-02,8.688957321636514575e-01,8.229610980607141579e-01,9.357736765785010236e-02,8.246894100229813437e-03,1.134698306059761563e+01,1.998359672606391868e+01,1.444989557322415585e+01
1.015474190187328103e-02,8.688255705863149325e-01,8.226381674141660660e-01,9.375828724385361357e-02,8.262254415517608294e-03,1.134778506308921209e+01,1.998283910978565459e+01,1.445068320872173828e+01
1.019380008117659608e-02,8.687552862667788922e-01,8.223146829710370476e-01,9.393955855506977426e-02,8.277642430328344125e-03,1.134858860427286409e+01,1.998208003757058293e+01,1.445147233415944754e+01
1.023300848993775707e-02,8.686848790175081270e-01,8.219906439262520959e-01,9.412118228184285229e-02,8.293058191233961679e-03,1.134939368703961016e+01,1.998131950665928613e+01,1.445226295225416280e+01
1.027236770598426163e-02,8.686143486508052236e-01,8.216660494742006327e-01,9.430315911589183531e-02,8.308501744872407932e-03,1.135020031428543064e+01,1.998055751428752913e+01,1.445305506572706022e+01
1.031187830936610567e-02,8.685436949788086780e-01,8.213408988087391727e-01,9.448548975031344221e-02,8.323973137947681192e-03,1.135100848891126368e+01,1.997979405768610306e+01,1.445384867730363787e+01
1.035154088236432852e-02,8.684729178134957817e-01,8.210151911231952093e-01,9.466817487958459343e-02,8.339472417229890078e-03,1.135181821382297862e+01,1.997902913408089276e+01,1.445464378971367658e+01
1.039135600949959819e-02,8.684020169666806233e-01,8.206889256103685470e-01,9.485121519956550562e-02,8.354999629555284746e-03,1.135262949193143101e+01,1.997826274069290164e+01,1.445544040569130928e+01
1.043132427754082936e-02,8.683309922500178635e-01,8.203621014625362973e-01,9.503461140750225911e-02,8.370554821826326278e-03,1.135344232615242177e+01,1.997749487473814156e+01,1.445623852797495346e+01
1.047144627551382066e-02,8.682598434749991823e-01,8.200347178714542107e-01,9.521836420202975382e-02,8.386138041011723110e-03,1.135425671940673098e+01,1.997672553342775714e+01,1.445703815930736269e+01
1.051172259470993867e-02,8.681885704529589409e-01,8.197067740283610071e-01,9.540247428317442935e-02,8.401749334146488279e-03,1.135507267462010361e+01,1.997595471396790145e+01,1.445783930243560356e+01
1.055215382869483486e-02,8.681171729950685201e-01,8.193782691239804850e-01,9.558694235235713765e-02,8.417388748331984527e-03,1.135589019472326555e+01,1.997518241355978930e+01,1.445864196011107161e+01
1.059274057331719560e-02,8.680456509123426478e-01,8.190492023485252959e-01,9.577176911239591861e-02,8.433056330735985012e-03,1.135670928265192359e+01,1.997440862939968298e+01,1.445944613508947363e+01
1.063348342671751115e-02,8.679740040156358472e-01,8.187195728916998316e-01,9.595695526750887272e-02,8.448752128592701069e-03,1.135752994134677074e+01,1.997363335867890299e+01,1.446025183013085957e+01
1.067438298933691410e-02,8.679022321156462105e-01,8.183893799427028881e-01,9.614250152331699217e-02,8.464476189202858533e-03,1.135835217375349693e+01,1.997285659858377116e+01,1.446105904799959951e+01
1.071543986392600213e-02,8.678303350229127355e-01,8.180586226902321068e-01,9.632840858684695029e-02,8.480228559933723764e-03,1.135917598282277829e+01,1.997207834629567458e+01,1.446186779146440138e+01
1.075665465555373373e-02,8.677583125478186554e-01,8.177273003224858616e-01,9.651467716653397422e-02,8.496009288219166095e-03,1.136000137151030032e+01,1.997129859899099102e+01,1.446267806329829853e+01
1.079802797161634464e-02,8.676861645005905510e-01,8.173954120271669233e-01,9.670130797222471764e-02,8.511818421559697728e-03,1.136082834277675424e+01,1.997051735384112092e+01,1.446348986627867106e+01
1.083956042184629556e-02,8.676138906912992388e-01,8.170629569914862333e-01,9.688830171518005019e-02,8.527656007522534456e-03,1.136165689958783531e+01,1.996973460801249445e+01,1.446430320318722984e+01
1.088125261832127190e-02,8.675414909298595489e-01,8.167299344021652363e-01,9.707565910807802734e-02,8.543522093741639026e-03,1.136248704491424988e+01,1.996895035866653600e+01,1.446511807681002182e+01
1.092310517547318179e-02,8.674689650260322127e-01,8.163963434454397650e-01,9.726338086501673530e-02,8.559416727917766241e-03,1.136331878173173315e+01,1.996816460295962159e+01,1.446593448993744602e+01
1.096511871009722520e-02,8.673963127894255276e-01,8.160621833070632603e-01,9.745146770151696947e-02,8.575339957818513270e-03,1.136415211302103678e+01,1.996737733804321024e+01,1.446675244536423577e+01
1.100729384136098568e-02,8.673235340294912499e-01,8.157274531723101019e-01,9.763992033452545405e-02,8.591291831278369956e-03,1.136498704176794305e+01,1.996658856106365931e+01,1.446757194588948181e+01
1.104963119081354278e-02,8.672506285555305894e-01,8.153921522259788279e-01,9.782873948241736783e-02,8.607272396198767384e-03,1.136582357096325957e+01,1.996579826916233813e+01,1.446839299431660919e+01
1.109213138239464880e-02,8.671775961766923224e-01,8.150562796523955766e-01,9.801792586499953608e-02,8.623281700548128190e-03,1.136666170360283346e+01,1.996500645947562091e+01,1.446921559345339325e+01
1.113479504244390197e-02,8.671044367019721255e-01,8.147198346354176390e-01,9.820748020351313667e-02,8.639319792361906461e-03,1.136750144268755847e+01,1.996421312913480506e+01,1.447003974611197386e+01
1.117762279971001166e-02,8.670311499402161282e-01,8.143828163584365676e-01,9.839740322063673938e-02,8.655386719742644980e-03,1.136834279122336433e+01,1.996341827526616441e+01,1.447086545510883049e+01
1.122061528536002530e-02,8.669577357001203577e-01,8.140452240043818399e-01,9.858769564048908141e-02,8.671482530860020327e-03,1.136918575222123451e+01,1.996262189499094220e+01,1.447169272326480360e+01
1.126377313298865430e-02,8.668841937902287409e-01,8.137070567557245226e-01,9.877835818863205108e-02,8.687607273950894923e-03,1.137003032869719732e+01,1.996182398542529768e+01,1.447252155340508395e+01
1.130709697862760342e-02,8.668105240189378780e-01,8.133683137944803798e-01,9.896939159207360226e-02,8.703760997319348255e-03,1.137087652367234902e+01,1.996102454368034174e+01,1.447335194835922501e+01
1.135058746075494514e-02,8.667367261944951551e-01,8.130289943022135368e-01,9.916079657927065472e-02,8.719943749336744529e-03,1.137172434017283962e+01,1.996022356686216170e+01,1.447418391096113410e+01
1.139424522030452885e-02,8.666628001250017421e-01,8.126890974600403661e-01,9.935257388013210567e-02,8.736155578441767364e-03,1.137257378122989238e+01,1.995942105207175743e+01,1.447501744404909374e+01
1.143807090067543858e-02,8.665887456184088178e-01,8.123486224486320406e-01,9.954472422602168857e-02,8.752396533140482243e-03,1.137342484987978963e+01,1.995861699640504128e+01,1.447585255046572961e+01
1.148206514774145065e-02,8.665145624825225656e-01,8.120075684482197520e-01,9.973724834976085973e-02,8.768666662006364271e-03,1.137427754916389233e+01,1.995781139695283102e+01,1.447668923305804256e+01
1.152622860986056950e-02,8.664402505250037301e-01,8.116659346385965978e-01,9.993014698563196241e-02,8.784966013680348476e-03,1.137513188212865067e+01,1.995700425080091378e+01,1.447752749467739974e+01
1.157056193788458254e-02,8.663658095533659509e-01,8.113237201991227998e-01,1.001234208693809330e-01,8.801294636870904409e-03,1.137598785182556860e+01,1.995619555502991815e+01,1.447836733817952393e+01
1.161506578516863925e-02,8.662912393749796491e-01,8.109809243087279240e-01,1.003170707382204097e-01,8.817652580354041342e-03,1.137684546131126062e+01,1.995538530671544208e+01,1.447920876642451837e+01
1.165974080758089455e-02,8.662165397970703618e-01,8.106375461459155440e-01,1.005110973308326744e-01,8.834039892973382865e-03,1.137770471364742697e+01,1.995457350292791432e+01,1.448005178227685086e+01
1.170458766351217643e-02,8.661417106267217392e-01,8.102935848887669046e-01,1.007055013873726090e-01,8.850456623640217194e-03,1.137856561190084292e+01,1.995376014073270809e+01,1.448089638860535011e+01
1.174960701388566911e-02,8.660667516708735469e-01,8.099490397149443632e-01,1.009002836494707067e-01,8.866902821333512777e-03,1.137942815914340677e+01,1.995294521719007719e+01,1.448174258828324135e+01
1.179479952216666745e-02,8.659916627363241082e-01,8.096039098016948321e-01,1.010954448602359307e-01,8.883378535100003304e-03,1.138029235845209541e+01,1.995212872935512038e+01,1.448259038418809119e+01
1.184016585437235904e-02,8.659164436297296374e-01,8.092581943258543298e-01,1.012909857642589756e-01,8.899883814054206782e-03,1.138115821290900875e+01,1.995131067427783833e+01,1.448343977920186276e+01
1.188570667908161842e-02,8.658410941576079045e-01,8.089118924638518671e-01,1.014869071076148904e-01,8.916418707378482786e-03,1.138202572560133419e+01,1.995049104900309089e+01,1.448429077621087835e+01
1.193142266744490025e-02,8.657656141263333494e-01,8.085650033917118895e-01,1.016832096378664924e-01,8.932983264323081027e-03,1.138289489962139633e+01,1.994966985057060072e+01,1.448514337810585495e+01
1.197731449319408212e-02,8.656900033421456309e-01,8.082175262850599395e-01,1.018798941040670314e-01,8.949577534206176049e-03,1.138376573806662151e+01,1.994884707601495322e+01,1.448599758778187585e+01
1.202338283265242530e-02,8.656142616111425214e-01,8.078694603191257650e-01,1.020769612567633405e-01,8.966201566413934884e-03,1.138463824403954483e+01,1.994802272236558949e+01,1.448685340813838884e+01
