# q,gen_err_mean,gen_err_std,train_err_mean,train_err_std,iters_nb_mean,iters_nb_std
1.000000000000000056e-01,8.374898570356382743e-01,1.085218883642995735e-01,1.100543151351264237e+00,4.198659316135421732e-02,5.299999999999999822e+00,4.582575694955840495e-01
1.081180751076608049e-01,7.630598437404367829e-01,9.332334175890877326e-02,1.055224809010893550e+00,5.649122419279263563e-02,6.000000000000000000e+00,7.745966692414834043e-01
1.168951816498578211e-01,8.084656319329071028e-01,1.159930301189157631e-01,1.109889003423368603e+00,5.201333466346939188e-02,5.599999999999999645e+00,6.633249580710800508e-01
1.263848202934297893e-01,7.377518282491817292e-01,1.280308387149741434e-01,1.069780066972455312e+00,9.927057254412315068e-02,6.500000000000000000e+00,9.219544457292887518e-01
1.366448349295325548e-01,7.074505731698925715e-01,8.602967715966686191e-02,1.031048144476722994e+00,8.814916945029709072e-02,6.400000000000000355e+00,9.165151389911678770e-01
1.477377652598511060e-01,7.634151762722959367e-01,9.767048913335700522e-02,1.069116299554008886e+00,7.645727241946187469e-02,6.200000000000000178e+00,7.483314773547882215e-01
1.597312280060254330e-01,7.211769069132454302e-01,9.311321216312748450e-02,1.040927842653271762e+00,6.038306182673729150e-02,6.700000000000000178e+00,7.810249675906654199e-01
1.726983290659435122e-01,7.125623372367095865e-01,1.341783836117773632e-01,1.035828640167644199e+00,5.947886913778271251e-02,7.400000000000000355e+00,1.113552872566004215e+00
1.867181091291919559e-01,7.201940820850369906e-01,1.363258366092100493e-01,9.937852506998456903e-01,8.642719706055841666e-02,7.200000000000000178e+00,9.797958971132713080e-01
2.018760254679038968e-01,7.152811883218931355e-01,1.342602019431098637e-01,9.651500563701513880e-01,6.252697009884995716e-02,7.799999999999999822e+00,1.077032961426900748e+00
2.182644728397487299e-01,6.997016137789062729e-01,1.083565191750097967e-01,1.003019099857708429e+00,5.724606376127247542e-02,8.199999999999999289e+00,1.248999599679679662e+00
2.359833466782194356e-01,7.070472397291548416e-01,9.866501037342069458e-02,1.002436281645053606e+00,9.082346235189002470e-02,8.400000000000000355e+00,1.428285685708569952e+00
2.551406520031288538e-01,7.474749006231935500e-01,1.259425207871774921e-01,9.837863111674838290e-01,4.798385613726455917e-02,8.900000000000000355e+00,1.513274595042155557e+00
2.758531617629182975e-01,6.896585908036841905e-01,7.542907973123871845e-02,9.403196830380837756e-01,7.489295755872513172e-02,9.800000000000000711e+00,1.166190378969059971e+00
2.982471286216891171e-01,7.144342192053834140e-01,6.436494459987586458e-02,9.923438495443859253e-01,1.076356016332796484e-01,9.599999999999999645e+00,1.356465996625053627e+00
3.224590545296394661e-01,7.410396475607206046e-01,1.063251161458030197e-01,9.665190964292437181e-01,6.387587898620271376e-02,2.019999999999999929e+01,2.701777192886193291e+01
3.486365227678084877e-01,7.595999167236555660e-01,1.257186070129857614e-01,9.325906026107737556e-01,5.771740990798605864e-02,2.069999999999999929e+01,2.685907667809896893e+01
3.769390975388361431e-01,7.450010774281244919e-01,1.097909558061975765e-01,9.332955662413592313e-01,4.667170789501655370e-02,2.189999999999999858e+01,2.651961538182633404e+01
4.075392965871776907e-01,7.745353517974460367e-01,1.927867830198844445e-01,9.009051651256141380e-01,4.250216650708574934e-02,1.330000000000000071e+01,3.579106033634655848e+00
4.406236427773571607e-01,7.068362433751362861e-01,6.622629955179006045e-02,8.976920658264102570e-01,7.076499999347059255e-02,1.500000000000000000e+01,4.626013402488150739e+00
4.763938010401340684e-01,6.664881994667976040e-01,1.046279734853777788e-01,9.176258481828037938e-01,5.936148497132700402e-02,3.100000000000000000e+01,3.508845964131226935e+01
5.150678076168123676e-01,7.534812203540626196e-01,1.106920061194565236e-01,9.316200792873369219e-01,8.428634038285102992e-02,2.400000000000000000e+01,2.585730070985755447e+01
5.568813990945270520e-01,7.690252528562404599e-01,7.942472770469170829e-02,9.046338843546498643e-01,4.957169068148613300e-02,5.170000000000000284e+01,4.050938162944479615e+01
6.020894493336129694e-01,6.921876081889763999e-01,8.040912164084021430e-02,8.668325477636372733e-01,5.917888567360155699e-02,4.889999999999999858e+01,4.256160241344304040e+01
6.509675230458170647e-01,8.148665253011454501e-01,1.318872538703325104e-01,8.591936454728792416e-01,4.820000818414075378e-02,6.350000000000000000e+01,3.987543103215311646e+01
7.038135554931554960e-01,8.160104451660297187e-01,8.795114226353439868e-02,8.081823830712873136e-01,3.310176207282676530e-02,4.310000000000000142e+01,3.013121305224866120e+01
7.609496685459877785e-01,8.349522726309779319e-01,1.180595752366307150e-01,8.233645104306444029e-01,9.375589867586055226e-02,5.160000000000000142e+01,4.041336412623923735e+01
8.227241341700469723e-01,8.885585373490199057e-01,1.293674883993034264e-01,8.503570329043217413e-01,5.491915108450827476e-02,6.879999999999999716e+01,3.949379698129821747e+01
8.895134973108234089e-01,8.871255845390461081e-01,1.269849553236306883e-01,8.638604165340735275e-01,4.486625573307829323e-02,5.870000000000000284e+01,3.542894297040203355e+01
9.617248711152964757e-01,9.184867911133240970e-01,1.311250177154495433e-01,8.167575904786638086e-01,3.551578701952840672e-02,7.459999999999999432e+01,3.301575381541363896e+01
1.039798418481489906e+00,1.003969928659521615e+00,2.445018337584747847e-01,8.248582459183463333e-01,9.577257296713025114e-02,6.679999999999999716e+01,3.028464957697216065e+01
1.124210035062086721e+00,1.035344519028553512e+00,1.704688408792258969e-01,7.985740406579322492e-01,7.840608525146013086e-02,7.670000000000000284e+01,2.788565939690148454e+01
1.215474250076286511e+00,1.073081247126040250e+00,1.025646236163768460e-01,7.955856950989148579e-01,9.746192990417455737e-02,1.010000000000000000e+02,0.000000000000000000e+00
1.314147362611756131e+00,1.083925846444993679e+00,1.636570299616798563e-01,7.679569599636396626e-01,7.278793877556763436e-02,9.340000000000000568e+01,1.387948125831797874e+01
1.420830832533922283e+00,1.155335337075253710e+00,1.523881873493378170e-01,7.651769915957246093e-01,5.814644545978303602e-02,9.690000000000000568e+01,8.859458222713168851e+00
1.536174946671827968e+00,1.377264624597132059e+00,3.372043447789728754e-01,7.571884885901134510e-01,4.269377262834939818e-02,1.010000000000000000e+02,0.000000000000000000e+00
1.660882782627715715e+00,1.466707237318136903e+00,1.892870746483990840e-01,9.168828500379518909e-01,2.863777508008043537e-01,9.500000000000000000e+01,1.296919426949878051e+01
1.795714494371639880e+00,1.539114236063960250e+00,2.028414667321807030e-01,8.019461836459669257e-01,4.772584462074448003e-02,1.010000000000000000e+02,0.000000000000000000e+00
1.941491945743880621e+00,1.601233477132444349e+00,2.059230785585595691e-01,7.920246445612980635e-01,4.778399515847957940e-02,9.840000000000000568e+01,5.219195340279955353e+00
2.099103720108554505e+00,1.732936970394046927e+00,2.499688301408815316e-01,8.593812763219730311e-01,2.742270181741371382e-01,1.010000000000000000e+02,0.000000000000000000e+00
2.269510536694668623e+00,2.059534488331601132e+00,2.974338443833161039e-01,8.338286955807785450e-01,1.085198261236093031e-01,1.010000000000000000e+02,0.000000000000000000e+00
2.453751106639817881e+00,1.976464376124807742e+00,3.939329184693775576e-01,7.842531423947208813e-01,5.383509365222623189e-02,1.010000000000000000e+02,0.000000000000000000e+00
