# q,gen_err_mean,gen_err_std,train_err_mean,train_err_std,iters_nb_mean,iters_nb_std
1.000000000000000056e-01,7.706738063878276757e-01,2.051662796323959134e-02,1.097961395500005377e+00,1.628352471593250833e-02,5.099999999999999645e+00,2.999999999999999889e-01
1.274274985703133800e-01,7.579608518826075336e-01,3.035889626054287874e-02,1.075635756691690315e+00,1.194865740075556210e-02,6.000000000000000000e+00,0.000000000000000000e+00
1.623776739188721729e-01,7.461852149013292745e-01,1.485749645560775420e-02,1.037852603731500123e+00,1.278529590829691372e-02,6.599999999999999645e+00,4.898979485566355985e-01
2.069138081114789696e-01,7.333014572368028450e-01,2.066394388934512244e-02,1.022606524250571525e+00,1.742016136969364720e-02,7.099999999999999645e+00,2.999999999999999889e-01
2.636650898730358294e-01,7.085596014808459575e-01,1.687614316181648352e-02,9.804412844640703062e-01,1.267994081140121944e-02,8.199999999999999289e+00,4.000000000000000222e-01
3.359818286283781652e-01,7.070407477625110237e-01,2.211158282649208426e-02,9.618984741236488167e-01,1.216163793602718923e-02,9.199999999999999289e+00,3.999999999999999667e-01
4.281332398719393528e-01,7.265843415257035032e-01,2.203663503154577180e-02,9.187898745154974289e-01,9.439244359703415771e-03,1.019999999999999929e+01,4.000000000000000222e-01
5.455594781168519036e-01,7.532780402259463548e-01,1.957164513174245585e-02,8.802357008497777580e-01,1.689422252644157824e-02,1.250000000000000000e+01,6.708203932499369193e-01
6.951927961775605791e-01,8.063595573937234473e-01,1.642407214051209638e-02,8.474458648585727616e-01,1.322739166624725508e-02,1.450000000000000000e+01,5.000000000000000000e-01
8.858667904100825385e-01,8.938850211202057361e-01,2.196198744018596632e-02,8.095240638134744149e-01,1.651828404481221757e-02,1.830000000000000071e+01,4.582575694955839385e-01
1.128837891684688843e+00,1.024838692399859585e+00,3.188348705969846347e-02,7.849996806532092419e-01,8.750948951122081848e-03,2.300000000000000000e+01,7.745966692414834043e-01
1.438449888287663070e+00,1.244794399398667206e+00,3.873236236219092937e-02,7.581073198563180737e-01,1.088650911749760100e-02,3.160000000000000142e+01,1.113552872566004215e+00
1.832980710832435634e+00,1.540698559772497145e+00,4.060267220850059811e-02,7.388446037560634228e-01,1.823259680029509430e-02,4.579999999999999716e+01,3.709447398198280954e+00
2.335721469090121349e+00,1.937835434380585697e+00,3.305537551294478182e-02,7.424925969666195114e-01,4.726586113055370603e-02,5.066000000000000000e+03,9.967504913467562801e+03
2.976351441631317485e+00,2.500481419262865490e+00,8.958709478928789105e-02,7.213717522368756629e-01,1.261296806349804928e-02,2.500100000000000000e+04,0.000000000000000000e+00
3.792690190732249889e+00,3.251539554702519208e+00,7.468075235774708498e-02,7.742563420697459176e-01,1.844102542992620553e-02,2.500100000000000000e+04,0.000000000000000000e+00
4.832930238571751858e+00,4.208176806843981765e+00,7.099156470413997555e-02,9.620835311547180080e-01,6.154313201876243644e-02,2.500100000000000000e+04,0.000000000000000000e+00
6.158482110660260744e+00,5.479476731538364120e+00,1.067928645518095854e-01,1.134031982287802665e+00,8.126040151413801982e-02,2.500100000000000000e+04,0.000000000000000000e+00
7.847599703514610781e+00,7.214960173643158114e+00,1.086828298670569626e-01,1.516206117551055499e+00,1.096113638455184780e-01,2.500100000000000000e+04,0.000000000000000000e+00
1.000000000000000000e+01,9.259199985400599076e+00,1.045448346428158176e-01,1.808940421068652826e+00,1.411604909923703799e-01,2.500100000000000000e+04,0.000000000000000000e+00
