# q,gen_err_mean,gen_err_std,train_err_mean,train_err_std,iters_nb_mean,iters_nb_std
1.000000000000000056e-01,7.643337847250493144e-01,3.022035092448860719e-02,1.094740184210690304e+00,1.313511512360286161e-02,5.500000000000000000e+00,5.000000000000000000e-01
1.274274985703133800e-01,7.532286418533055139e-01,2.508585092224031171e-02,1.069261957121043327e+00,1.239514439837120785e-02,6.000000000000000000e+00,0.000000000000000000e+00
1.623776739188721729e-01,7.320768858292926451e-01,1.867711437018531803e-02,1.043251447264622600e+00,2.104375732180089817e-02,6.599999999999999645e+00,4.898979485566355985e-01
2.069138081114789696e-01,7.157230854598748415e-01,1.915382003474333170e-02,1.018556108883042377e+00,1.742684787112052866e-02,7.099999999999999645e+00,2.999999999999999889e-01
2.636650898730358294e-01,7.128254992609611707e-01,1.346291588087413123e-02,9.837936286295395627e-01,1.268449858546014108e-02,8.099999999999999645e+00,5.385164807134503739e-01
3.359818286283781652e-01,7.093762824608519368e-01,1.828747563396340703e-02,9.429193829009248073e-01,1.668317159439470024e-02,9.000000000000000000e+00,0.000000000000000000e+00
4.281332398719393528e-01,7.197001208810313022e-01,2.094521091494335255e-02,9.169155590673343514e-01,1.344319425193013853e-02,1.019999999999999929e+01,3.999999999999999667e-01
5.455594781168519036e-01,7.415111528234594740e-01,1.615388640264732445e-02,8.854343934351349699e-01,1.308356819491605406e-02,1.219999999999999929e+01,4.000000000000000222e-01
6.951927961775605791e-01,8.075156041738505985e-01,3.219299287383305813e-02,8.563948280247484224e-01,9.557526358791227847e-03,1.480000000000000071e+01,4.000000000000000222e-01
8.858667904100825385e-01,8.799781911627748698e-01,3.141567552794957696e-02,8.136154332872994610e-01,1.360179044896076689e-02,1.800000000000000000e+01,1.000000000000000000e+00
1.128837891684688843e+00,1.026757772118598755e+00,2.809804500454355855e-02,7.843255264553496975e-01,6.918739534992082024e-03,2.780000000000000071e+01,9.484724561103501372e+00
1.438449888287663070e+00,1.212782524239607973e+00,4.659835538260083398e-02,7.606772984732136367e-01,1.823390955896018670e-02,3.160000000000000142e+01,1.799999999999999822e+00
1.832980710832435634e+00,1.502444668514217430e+00,5.200409022813878152e-02,7.386191016909550155e-01,1.463622434354567257e-02,4.820000000000000284e+01,5.895761189193470031e+00
2.335721469090121349e+00,1.959335036770970762e+00,5.759264140646814384e-02,7.227586737879041490e-01,1.241265856846824646e-02,2.127000000000000000e+03,5.958442699229388381e+03
2.976351441631317485e+00,2.519579365942203886e+00,7.719213926516459157e-02,7.928211252306689438e-01,1.450347219494262097e-01,2.000100000000000000e+04,0.000000000000000000e+00
3.792690190732249889e+00,3.243069659554696837e+00,6.502451089083317870e-02,8.065255060619064276e-01,6.855790584703209956e-02,2.000100000000000000e+04,0.000000000000000000e+00
4.832930238571751858e+00,4.208274142069789114e+00,7.948024127272428074e-02,9.904584483075362655e-01,5.509505539509199773e-02,2.000100000000000000e+04,0.000000000000000000e+00
6.158482110660260744e+00,5.514052084042845969e+00,7.633107614267861663e-02,1.145605174420497585e+00,8.995511356162867733e-02,2.000100000000000000e+04,0.000000000000000000e+00
7.847599703514610781e+00,7.155666322512009181e+00,1.186343023950515718e-01,1.485982084194149122e+00,3.064395728907253758e-01,2.000100000000000000e+04,0.000000000000000000e+00
1.000000000000000000e+01,9.288628393351984869e+00,1.704369839285556076e-01,1.764182688741720906e+00,1.366128772213940634e-01,2.000100000000000000e+04,0.000000000000000000e+00
