# q,gen_err_mean,gen_err_std,train_err_mean,train_err_std,iters_nb_mean,iters_nb_std
1.000000000000000056e-01,7.747267992156936511e-01,3.263988435737170263e-02,1.103139428182730475e+00,2.712747644228230212e-02,5.400000000000000355e+00,4.898979485566355985e-01
1.274274985703133800e-01,7.576122560693437924e-01,3.508043986026483652e-02,1.066104218679609694e+00,2.663990986155721080e-02,6.000000000000000000e+00,4.472135954999579277e-01
1.623776739188721729e-01,7.399433100186505463e-01,4.155298740833256177e-02,1.043205129713142609e+00,2.388085215861334917e-02,6.400000000000000355e+00,4.898979485566355985e-01
2.069138081114789696e-01,7.246917937902418450e-01,2.917744742675542832e-02,1.018119894313888940e+00,2.208906144097455213e-02,7.000000000000000000e+00,0.000000000000000000e+00
2.636650898730358294e-01,7.134306655034255984e-01,4.771942486034037867e-02,9.908333255372838710e-01,3.037175344620370379e-02,7.900000000000000355e+00,2.999999999999999889e-01
3.359818286283781652e-01,7.155096559823220792e-01,5.356675716249041652e-02,9.556870864687825318e-01,2.424815749937794113e-02,9.000000000000000000e+00,0.000000000000000000e+00
4.281332398719393528e-01,7.096962305547436234e-01,2.444738554331882946e-02,9.067298100021761176e-01,1.186723820391326345e-02,1.069999999999999929e+01,6.403124237432848975e-01
5.455594781168519036e-01,7.485745543458610651e-01,4.338720371794684005e-02,8.786186091346037674e-01,2.772144329140116201e-02,1.269999999999999929e+01,6.403124237432848975e-01
6.951927961775605791e-01,7.923698027779100261e-01,4.157126592901302931e-02,8.526702188820550754e-01,2.270364413648864182e-02,1.459999999999999964e+01,6.633249580710800508e-01
8.858667904100825385e-01,8.998464465748712282e-01,4.837188208473785361e-02,8.160051879601392111e-01,2.072455975101507308e-02,1.869999999999999929e+01,1.268857754044951935e+00
1.128837891684688843e+00,1.045439917091992355e+00,4.247644215533467882e-02,7.906068340244221115e-01,3.291163787182288525e-02,2.639999999999999858e+01,4.317406628984580053e+00
1.438449888287663070e+00,1.227892435151367367e+00,4.818116168329239501e-02,7.766883232585155561e-01,1.254566494810309407e-02,3.439999999999999858e+01,4.176122603564220270e+00
1.832980710832435634e+00,1.491030837614468307e+00,5.628379299686796233e-02,7.415847479189254798e-01,1.943802683605481973e-02,7.329999999999999716e+01,2.350765832659645937e+01
2.335721469090121349e+00,1.954722451065864064e+00,1.034661641616458350e-01,7.253506004106887728e-01,1.765632233084321254e-02,1.010000000000000000e+02,0.000000000000000000e+00
2.976351441631317485e+00,2.493138478907376943e+00,1.478742187402418418e-01,7.544683624428702995e-01,4.995808450175661525e-02,1.010000000000000000e+02,0.000000000000000000e+00
3.792690190732249889e+00,3.200580094166626477e+00,1.395030447805882812e-01,8.086806721122338226e-01,3.763732155843015764e-02,1.010000000000000000e+02,0.000000000000000000e+00
4.832930238571751858e+00,4.217846713643279344e+00,5.032157427889794726e-02,9.619967021923698791e-01,5.671672502172799696e-02,1.010000000000000000e+02,0.000000000000000000e+00
6.158482110660260744e+00,5.487236214679965585e+00,1.286525066832014674e-01,1.266195671269450651e+00,1.440062571693025428e-01,1.010000000000000000e+02,0.000000000000000000e+00
7.847599703514610781e+00,7.160579149942400079e+00,2.048850803696242173e-01,1.532499827120126223e+00,4.308389897062278595e-01,1.010000000000000000e+02,0.000000000000000000e+00
1.000000000000000000e+01,9.280206262151754260e+00,1.081964423119129853e-01,1.849665111201632683e+00,1.326939352860683208e-01,1.010000000000000000e+02,0.000000000000000000e+00
