# q,gen_err_mean,gen_err_std,train_err_mean,train_err_std,iters_nb_mean,iters_nb_std
1.000000000000000056e-01,7.601793811793708944e-01,2.200142738738206094e-02,1.092144661842803011e+00,1.706381524417692822e-02,5.200000000000000178e+00,3.999999999999999667e-01
1.211527658628588494e-01,7.422976155780216523e-01,3.203222944576061826e-02,1.072966789675049437e+00,2.096506341738173587e-02,5.900000000000000355e+00,2.999999999999999889e-01
1.467799267622069415e-01,7.565241756833476217e-01,2.454236456594083293e-02,1.057128453993147144e+00,2.043546145770399822e-02,6.000000000000000000e+00,0.000000000000000000e+00
1.778279410038922925e-01,7.302867277614956132e-01,2.146245180400277452e-02,1.031328901529809938e+00,1.802689467613484073e-02,6.900000000000000355e+00,2.999999999999999889e-01
2.154434690031883370e-01,7.045925857779135049e-01,2.128621853985258536e-02,1.001056131792501303e+00,1.630763506484404074e-02,7.299999999999999822e+00,4.582575694955840495e-01
2.610157215682536447e-01,7.132236637947407809e-01,1.981693768781579018e-02,9.844565105369215141e-01,2.318428514272162858e-02,8.199999999999999289e+00,4.000000000000000222e-01
3.162277660168379412e-01,6.915491566402901524e-01,3.026440255842945126e-02,9.582064298035183336e-01,1.437116773541124472e-02,8.900000000000000355e+00,5.385164807134503739e-01
3.831186849557287055e-01,7.092968782976768471e-01,2.228080803278809086e-02,9.332328932907076879e-01,1.971582007277241852e-02,1.000000000000000000e+01,0.000000000000000000e+00
4.641588833612778631e-01,7.403295666584328583e-01,3.381808971082344434e-02,9.085576501386792847e-01,2.392149071307487704e-02,1.090000000000000036e+01,8.306623862918073309e-01
5.623413251903490728e-01,7.635021857070836138e-01,2.531790721210993439e-02,8.908171152343961063e-01,1.237253263181533128e-02,1.250000000000000000e+01,5.000000000000000000e-01
6.812920690579611360e-01,8.042597780822952069e-01,2.746327557408828612e-02,8.495412181557583375e-01,1.430069365090673970e-02,1.450000000000000000e+01,6.708203932499369193e-01
8.254041852680183977e-01,8.437370361705512911e-01,4.703341898003068206e-02,8.264667676311624467e-01,1.734804590553090664e-02,1.719999999999999929e+01,8.717797887081346619e-01
1.000000000000000000e+00,9.534879021921189857e-01,3.428362974181082407e-02,8.122697734857184937e-01,1.340747919331459689e-02,2.139999999999999858e+01,3.006659275674581355e+00
1.211527658628588133e+00,1.075362383159264690e+00,4.256004551140897540e-02,7.719661647598903276e-01,1.490232481152431107e-02,2.630000000000000071e+01,2.002498439450078660e+00
1.467799267622069026e+00,1.282823474986138912e+00,5.328384520971774646e-02,7.612657520063693672e-01,1.000659146138294445e-02,3.679999999999999716e+01,1.222947259696835864e+01
1.778279410038922759e+00,1.463297825370091676e+00,5.908037457712286139e-02,7.428657572099561790e-01,2.053872850303024855e-02,5.200000000000000000e+01,8.037412518964046626e+00
2.154434690031883370e+00,1.786027812913275836e+00,5.846525355115446410e-02,7.607599406434064626e-01,7.745915731012646688e-02,6.222999999999999545e+02,1.464224712945386500e+03
2.610157215682535892e+00,2.153672802460659508e+00,7.592650626461416863e-02,7.426690690391294369e-01,3.961453537458824864e-02,5.001000000000000000e+03,0.000000000000000000e+00
3.162277660168379523e+00,2.650790549450673161e+00,1.136379642857362204e-01,7.330089487364830347e-01,1.272986750907850566e-02,5.001000000000000000e+03,0.000000000000000000e+00
3.831186849557286944e+00,3.336282465113384887e+00,6.391513493905776055e-02,8.523902050456533264e-01,1.272186599741515489e-01,5.001000000000000000e+03,0.000000000000000000e+00
4.641588833612777520e+00,4.066448013297399910e+00,9.164705780870327501e-02,9.386159228689132661e-01,5.206343663144719081e-02,5.001000000000000000e+03,0.000000000000000000e+00
5.623413251903491172e+00,5.026463209666276910e+00,9.263310782321042269e-02,1.180003508448235650e+00,2.302867002016268094e-01,5.001000000000000000e+03,0.000000000000000000e+00
6.812920690579611360e+00,6.122298768157903304e+00,1.082034089735973287e-01,1.358024229177909437e+00,1.209402763521640750e-01,5.001000000000000000e+03,0.000000000000000000e+00
8.254041852680181535e+00,7.544084518603810352e+00,9.928886221250883548e-02,1.493933089138826054e+00,1.479333490404599882e-01,5.001000000000000000e+03,0.000000000000000000e+00
1.000000000000000000e+01,9.258123530081340036e+00,1.620477617190049235e-01,1.836431982856614908e+00,9.430652677968252851e-02,5.001000000000000000e+03,0.000000000000000000e+00
