# q,gen_err_mean,gen_err_std,train_err_mean,train_err_std,iters_nb_mean,iters_nb_std
1.000000000000000056e-01,5.872662582419084787e-01,0.000000000000000000e+00,9.889175707784779723e-01,0.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00
1.211527658628588494e-01,8.049588905922232529e-01,0.000000000000000000e+00,1.049672007089320847e+00,0.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00
1.467799267622069415e-01,7.399211991325072013e-01,0.000000000000000000e+00,1.054311017638428938e+00,0.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00
1.778279410038922925e-01,7.934373993492193078e-01,0.000000000000000000e+00,1.120176343158131305e+00,0.000000000000000000e+00,7.000000000000000000e+00,7.000000000000000000e+00
2.154434690031883370e-01,7.945515283009401131e-01,0.000000000000000000e+00,9.458743491105875423e-01,0.000000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00
2.610157215682536447e-01,7.021255304361302407e-01,0.000000000000000000e+00,7.896508766094134657e-01,0.000000000000000000e+00,1.100000000000000000e+01,1.100000000000000000e+01
3.162277660168379412e-01,6.887501957916758455e-01,0.000000000000000000e+00,9.436372502745450364e-01,0.000000000000000000e+00,1.900000000000000000e+01,1.900000000000000000e+01
3.831186849557287055e-01,5.553196790618367684e-01,0.000000000000000000e+00,8.534980266359427636e-01,0.000000000000000000e+00,5.001000000000000000e+03,5.001000000000000000e+03
4.641588833612778631e-01,5.730082203597113288e-01,0.000000000000000000e+00,8.468249912651735212e-01,0.000000000000000000e+00,1.400000000000000000e+01,1.400000000000000000e+01
5.623413251903490728e-01,8.179937698472723451e-01,0.000000000000000000e+00,8.475414241977756724e-01,0.000000000000000000e+00,1.400000000000000000e+01,1.400000000000000000e+01
6.812920690579611360e-01,8.577460192679154938e-01,0.000000000000000000e+00,8.313342060631295771e-01,0.000000000000000000e+00,1.211000000000000000e+03,1.211000000000000000e+03
8.254041852680183977e-01,1.135862585824752635e+00,0.000000000000000000e+00,9.731647444438030758e-01,0.000000000000000000e+00,1.900000000000000000e+01,1.900000000000000000e+01
1.000000000000000000e+00,8.926161728250237015e-01,0.000000000000000000e+00,8.845697387282183133e-01,0.000000000000000000e+00,9.800000000000000000e+01,9.800000000000000000e+01
1.211527658628588133e+00,9.964231391511527702e-01,0.000000000000000000e+00,8.122212903451564436e-01,0.000000000000000000e+00,2.800000000000000000e+01,2.800000000000000000e+01
1.467799267622069026e+00,1.356854856595797187e+00,0.000000000000000000e+00,7.615084765800262945e-01,0.000000000000000000e+00,9.300000000000000000e+01,9.300000000000000000e+01
1.778279410038922759e+00,1.298352304653967337e+00,0.000000000000000000e+00,7.994102169469857744e-01,0.000000000000000000e+00,9.100000000000000000e+01,9.100000000000000000e+01
2.154434690031883370e+00,1.737188332738946794e+00,0.000000000000000000e+00,8.605439533149771281e-01,0.000000000000000000e+00,5.001000000000000000e+03,5.001000000000000000e+03
2.610157215682535892e+00,2.094098086489636135e+00,0.000000000000000000e+00,8.884011958182369550e-01,0.000000000000000000e+00,5.001000000000000000e+03,5.001000000000000000e+03
3.162277660168379523e+00,2.900785594687627977e+00,0.000000000000000000e+00,1.047917812393602155e+00,0.000000000000000000e+00,5.001000000000000000e+03,5.001000000000000000e+03
3.831186849557286944e+00,2.902460399133937052e+00,0.000000000000000000e+00,9.035193855863792312e-01,0.000000000000000000e+00,5.001000000000000000e+03,5.001000000000000000e+03
4.641588833612777520e+00,4.046726221817603886e+00,0.000000000000000000e+00,8.756640882349279176e-01,0.000000000000000000e+00,5.001000000000000000e+03,5.001000000000000000e+03
5.623413251903491172e+00,4.418599415113927620e+00,0.000000000000000000e+00,1.944890124177037105e+00,0.000000000000000000e+00,5.001000000000000000e+03,5.001000000000000000e+03
6.812920690579611360e+00,6.181850424850477310e+00,0.000000000000000000e+00,1.443625596595963234e+00,0.000000000000000000e+00,5.001000000000000000e+03,5.001000000000000000e+03
8.254041852680181535e+00,7.462976487162078065e+00,0.000000000000000000e+00,2.333416003840264263e+00,0.000000000000000000e+00,5.001000000000000000e+03,5.001000000000000000e+03
1.000000000000000000e+01,8.316789532630140869e+00,0.000000000000000000e+00,1.980038165957372476e+00,0.000000000000000000e+00,5.001000000000000000e+03,5.001000000000000000e+03
